index,pid,plant_name,Date,Depth_mm,IrrigationGroup,Time_hr
74,1,Guayule MAC F100 2018,2018-11-15 00:00:00,35.5,a,2
75,1,Guayule MAC F100 2018,2019-02-13 00:00:00,50.6,a,2
76,1,Guayule MAC F100 2018,2019-03-21 00:00:00,47.8,a,2
77,1,Guayule MAC F100 2018,2019-04-08 00:00:00,61.5,a,2
78,1,Guayule MAC F100 2018,2019-04-25 00:00:00,69,a,2
79,1,Guayule MAC F100 2018,2019-05-08 00:00:00,75.2,a,2
80,1,Guayule MAC F100 2018,2019-05-16 00:00:00,71.7,a,2
81,1,Guayule MAC F100 2018,2019-05-24 00:00:00,47.8,a,2
82,1,Guayule MAC F100 2018,2019-05-31 00:00:00,69,a,2
83,1,Guayule MAC F100 2018,2019-06-07 00:00:00,69,a,2
84,1,Guayule MAC F100 2018,2019-06-17 00:00:00,102.5,a,2
85,1,Guayule MAC F100 2018,2019-06-24 00:00:00,86.1,a,2
86,1,Guayule MAC F100 2018,2019-07-02 00:00:00,116.1,a,2
87,1,Guayule MAC F100 2018,2019-07-12 00:00:00,85.4,a,2
88,1,Guayule MAC F100 2018,2019-07-19 00:00:00,68.3,a,2
89,1,Guayule MAC F100 2018,2019-07-31 00:00:00,100,a,2
90,1,Guayule MAC D100 2018,2018-04-20 00:00:00,44,a,2
91,1,Guayule MAC D100 2018,2018-04-21 00:00:00,42,a,2
92,1,Guayule MAC D100 2018,2018-04-22 00:00:00,21,a,2
93,1,Guayule MAC D100 2018,2018-04-23 00:00:00,20,a,2
94,1,Guayule MAC D100 2018,2018-04-24 00:00:00,12,a,2
95,1,Guayule MAC D100 2018,2018-04-25 00:00:00,15,a,2
96,1,Guayule MAC D100 2018,2018-04-26 00:00:00,39,a,2
97,1,Guayule MAC D100 2018,2018-04-27 00:00:00,60,a,2
98,1,Guayule MAC D100 2018,2018-04-28 00:00:00,11,a,2
99,1,Guayule MAC D100 2018,2018-04-29 00:00:00,6,a,2
100,1,Guayule MAC D100 2018,2018-04-30 00:00:00,6,a,2
101,1,Guayule MAC D100 2018,2018-05-01 00:00:00,8,a,2
102,1,Guayule MAC D100 2018,2018-05-03 00:00:00,12.2,a,2
103,1,Guayule MAC D100 2018,2018-05-05 00:00:00,14.8,a,2
104,1,Guayule MAC D100 2018,2018-05-07 00:00:00,14.8,a,2
105,1,Guayule MAC D100 2018,2018-05-09 00:00:00,14.8,a,2
106,1,Guayule MAC D100 2018,2018-05-11 00:00:00,14.8,a,2
107,1,Guayule MAC D100 2018,2018-05-13 00:00:00,14.8,a,2
108,1,Guayule MAC D100 2018,2018-05-16 00:00:00,11.9,a,2
109,1,Guayule MAC D100 2018,2018-05-17 00:00:00,14.8,a,2
110,1,Guayule MAC D100 2018,2018-05-19 00:00:00,14.8,a,2
111,1,Guayule MAC D100 2018,2018-05-21 00:00:00,15,a,2
112,1,Guayule MAC D100 2018,2018-05-22 00:00:00,17,a,2
113,1,Guayule MAC D100 2018,2018-05-26 00:00:00,15,a,2
114,1,Guayule MAC D100 2018,2018-05-28 00:00:00,15,a,2
115,1,Guayule MAC D100 2018,2018-05-29 00:00:00,10,a,2
116,1,Guayule MAC D100 2018,2018-05-30 00:00:00,10,a,2
117,1,Guayule MAC D100 2018,2018-05-31 00:00:00,15,a,2
118,1,Guayule MAC D100 2018,2018-06-01 00:00:00,15,a,2
119,1,Guayule MAC D100 2018,2018-06-05 00:00:00,11,a,2
120,1,Guayule MAC D100 2018,2018-06-06 00:00:00,11,a,2
121,1,Guayule MAC D100 2018,2018-06-07 00:00:00,16,a,2
122,1,Guayule MAC D100 2018,2018-06-08 00:00:00,16,a,2
123,1,Guayule MAC D100 2018,2018-06-09 00:00:00,16,a,2
124,1,Guayule MAC D100 2018,2018-06-10 00:00:00,16,a,2
125,1,Guayule MAC D100 2018,2018-06-15 00:00:00,16,a,2
